"","data_point","demand"
"1",1,1419
"2",2,1429
"3",3,1385
"4",4,1443
"5",5,1335
"6",6,1448
"7",7,1403
"8",8,1378
"9",9,1392
"10",10,1407
"11",11,1421
"12",12,1383
"13",13,1411
"14",14,1346
"15",15,1442
"16",16,1389
"17",17,1338
"18",18,1419
"19",19,1390
"20",20,1375
"21",21,1385
"22",22,1316
"23",23,1392
"24",24,1363
"25",25,1410
"26",26,1412
"27",27,1403
"28",28,1335
"29",29,1371
"30",30,1395
"31",31,1391
"32",32,1381
"33",33,1386
"34",34,1422
"35",35,1391
"36",36,1459
"37",37,1450
"38",38,1373
"39",39,1341
"40",40,1418
"41",41,1429
"42",42,1375
"43",43,1407
"44",44,1365
"45",45,1392
"46",46,1385
"47",47,1395
"48",48,1364
"49",49,1384
"50",50,1432
"51",51,1430
"52",52,1457
"53",53,1378
"54",54,1342
"55",55,1400
"56",56,1389
"57",57,1412
"58",58,1391
"59",59,1357
"60",60,1445
"61",61,1447
"62",62,1425
"63",63,1398
"64",64,1438
"65",65,1450
"66",66,1418
"67",67,1319
"68",68,1443
"69",69,1403
"70",70,1374
"71",71,1406
"72",72,1440
"73",73,1374
"74",74,1411
"75",75,1422
"76",76,1424
"77",77,1391
"78",78,1377
"79",79,1359
"80",80,1413
"81",81,1399
"82",82,1401
"83",83,1342
"84",84,1416
"85",85,1403
"86",86,1414
"87",87,1415
"88",88,1384
"89",89,1426
"90",90,1422
"91",91,1376
"92",92,1422
"93",93,1392
"94",94,1370
"95",95,1320
"96",96,1424
"97",97,1401
"98",98,1360
"99",99,1411
"100",100,1381
